qtl_1.47-9.tar.gz  (2021-01-07)
qtl_1.46-2.tar.gz  (2020-02-28)
qtl_1.45-11.tar.gz (2020-02-01)
qtl_1.44-9.tar.gz  (2019-01-22)
qtl_1.42-8.tar.gz  (2018-02-19)
qtl_1.41-6.tar.gz  (2017-06-11)
qtl_1.40-8.tar.gz  (2016-10-31)
qtl_1.39-5.tar.gz  (2016-03-04)
qtl_1.38-4.tar.gz  (2015-12-03)
qtl_1.37-11.tar.gz (2015-08-24)
qtl_1.36-6.tar.gz  (2015-03-05)
qtl_1.35-3.tar.gz  (2014-12-15)
qtl_1.34-17.tar.gz (2014-10-30)
qtl_1.33-7.tar.gz  (2014-08-12)
qtl_1.32-11.tar.gz (2014-05-28)
qtl_1.31-9.tar.gz  (2014-03-19)
qtl_1.30-4.tar.gz  (2014-02-10)
qtl_1.29-2.tar.gz  (2013-12-09)
qtl_1.28-19.tar.gz (2013-09-23)
qtl_1.27-10.tar.gz (2013-04-11)
qtl_1.26-14.tar.gz (2012-11-27)
qtl_1.25-15.tar.gz (2012-08-13)
qtl_1.24-9.tar.gz  (2012-05-25)
qtl_1.23-16.tar.gz (2012-03-06)
qtl_1.22-21.tar.gz (2011-11-28)
qtl_1.21-2.tar.gz  (2011-03-18)
qtl_1.20-15.tar.gz (2011-02-15)
qtl_1.19-20.tar.gz (2010-11-29)
qtl_1.18-7.tar.gz  (2010-08-18)
qtl_1.17-39.tar.gz (2010-07-28)
qtl_1.16-6.tar.gz  (2010-05-23)
qtl_1.15-15.tar.gz (2010-05-02)
qtl_1.14-2.tar.gz  (2009-09-30)
qtl_1.13-7.tar.gz  (2009-09-10)
qtl_1.12-26.tar.gz (2009-06-30)
qtl_1.11-12.tar.gz (2009-03-29)
qtl_1.10-27.tar.gz (2009-01-11)
qtl_1.09-43.tar.gz (2008-07-18)
qtl_1.08-56.tar.gz (2008-04-08)
qtl_1.07-12.tar.gz (2007-10-09)
qtl_1.06-43.tar.gz (2007-08-07)
qtl_1.05-2.tar.gz  (2006-11-08)
qtl_1.04-53.tar.gz (2006-10-28)
qtl_1.03-14.tar.gz (2006-07-20)
qtl_1.02-26.tar.gz (2006-06-02)
qtl_1.01-9.tar.gz  (2005-10-25)
qtl_1.00-18.tar.gz (2005-09-10)
qtl_0.99-24.tar.gz (2005-04-26)
qtl_0.98-57.tar.gz (2004-09-10)
qtl_0.97-22.tar.gz (2003-12-30)
qtl_0.96-5.tar.gz  (2002-09-30)
qtl_0.92-3.tar.gz  (2002-02-12)
qtl_0.85-4.tar.gz  (2001-10-29)
